Field ID,Crop Type (predicted),Growth Stage,Stress Index Used,Index Value,Stress Level,8-Day Water Deficit (mm),Irrigation Advisory
F_000,Soybean,reproductive,SAR VH/VV ratio,0.3496,Moderate,18.8,Urgent irrigation
F_001,Paddy,reproductive,SAR VH/VV ratio,0.2128,Severe,20.72,Urgent irrigation
F_002,Fallow,maturity,VCI,0.3718,Moderate,0.0,No action
F_003,Soybean,reproductive,SAR VH/VV ratio,0.3486,Moderate,18.8,Urgent irrigation
F_004,Cotton,reproductive,SAR VH/VV ratio,0.4269,Moderate,18.8,Urgent irrigation
F_005,Sugarcane,maturity,VCI,0.6711,Low,3.44,No action
F_006,Fallow,sowing,NDVI_anomaly + SMI,0.1507,Low,0.0,No action
F_007,Fallow,sowing,NDVI_anomaly + SMI,0.4315,Moderate,0.0,No action
F_008,Fallow,vegetative,NDWI,-0.4636,Severe,0.0,No action
F_009,Soybean,reproductive,SAR VH/VV ratio,0.3834,Moderate,18.8,Urgent irrigation
F_010,Paddy,reproductive,SAR VH/VV ratio,0.2779,Severe,20.72,Urgent irrigation
F_011,Sugarcane,reproductive,SAR VH/VV ratio,0.2835,Severe,22.64,Urgent irrigation
F_012,Soybean,reproductive,SAR VH/VV ratio,0.3331,Moderate,18.8,Urgent irrigation
F_013,Fallow,sowing,NDVI_anomaly + SMI,0.3079,Moderate,0.0,No action
F_014,Paddy,reproductive,SAR VH/VV ratio,0.3309,Moderate,20.72,Urgent irrigation
F_015,Soybean,reproductive,SAR VH/VV ratio,0.3812,Moderate,18.8,Urgent irrigation
F_016,Paddy,reproductive,SAR VH/VV ratio,0.3196,Moderate,20.72,Urgent irrigation
F_017,Sugarcane,reproductive,SAR VH/VV ratio,0.2561,Severe,22.64,Urgent irrigation
F_018,Fallow,vegetative,NDWI,-0.5104,Severe,0.0,No action
F_019,Cotton,maturity,VCI,0.6917,Low,1.52,No action
F_020,Sugarcane,reproductive,SAR VH/VV ratio,0.2402,Severe,22.64,Urgent irrigation
F_021,Sugarcane,reproductive,SAR VH/VV ratio,0.2539,Severe,22.64,Urgent irrigation
F_022,Fallow,vegetative,NDWI,-0.5064,Severe,0.0,No action
F_023,Paddy,reproductive,SAR VH/VV ratio,0.2922,Severe,20.72,Urgent irrigation
F_024,Sugarcane,reproductive,SAR VH/VV ratio,0.2642,Severe,22.64,Urgent irrigation
F_025,Paddy,reproductive,SAR VH/VV ratio,0.2695,Severe,20.72,Urgent irrigation
F_026,Soybean,reproductive,SAR VH/VV ratio,0.2857,Severe,18.8,Urgent irrigation
F_027,Fallow,maturity,VCI,0.5883,Low,0.0,No action
F_028,Sugarcane,reproductive,SAR VH/VV ratio,0.2469,Severe,22.64,Urgent irrigation
F_029,Soybean,reproductive,SAR VH/VV ratio,0.2897,Severe,18.8,Urgent irrigation
F_030,Cotton,reproductive,SAR VH/VV ratio,0.3685,Moderate,18.8,Urgent irrigation
F_031,Cotton,reproductive,SAR VH/VV ratio,0.4509,Low,18.8,Urgent irrigation
F_032,Cotton,reproductive,SAR VH/VV ratio,0.3865,Moderate,18.8,Urgent irrigation
F_033,Soybean,maturity,VCI,0.8157,Low,0.0,No action
F_034,Paddy,reproductive,SAR VH/VV ratio,0.2474,Severe,20.72,Urgent irrigation
F_035,Fallow,vegetative,NDWI,-0.4629,Severe,0.0,No action
F_036,Soybean,reproductive,SAR VH/VV ratio,0.316,Moderate,18.8,Urgent irrigation
F_037,Paddy,reproductive,SAR VH/VV ratio,0.2995,Severe,20.72,Urgent irrigation
F_038,Sugarcane,reproductive,SAR VH/VV ratio,0.258,Severe,22.64,Urgent irrigation
F_039,Fallow,vegetative,NDWI,-0.3336,Severe,0.0,No action
F_040,Cotton,maturity,VCI,0.8813,Low,1.52,No action
F_041,Sugarcane,reproductive,SAR VH/VV ratio,0.2634,Severe,22.64,Urgent irrigation
F_042,Paddy,reproductive,SAR VH/VV ratio,0.2952,Severe,20.72,Urgent irrigation
F_043,Soybean,maturity,VCI,0.5392,Low,0.0,No action
F_044,Paddy,reproductive,SAR VH/VV ratio,0.2786,Severe,20.72,Urgent irrigation
F_045,Paddy,reproductive,SAR VH/VV ratio,0.294,Severe,20.72,Urgent irrigation
F_046,Soybean,reproductive,SAR VH/VV ratio,0.2698,Severe,18.8,Urgent irrigation
F_047,Soybean,reproductive,SAR VH/VV ratio,0.2637,Severe,18.8,Urgent irrigation
F_048,Paddy,reproductive,SAR VH/VV ratio,0.2452,Severe,20.72,Urgent irrigation
F_049,Cotton,maturity,VCI,0.3658,Moderate,1.52,No action
F_050,Soybean,maturity,VCI,0.7194,Low,0.0,No action
F_051,Soybean,reproductive,SAR VH/VV ratio,0.3306,Moderate,18.8,Urgent irrigation
F_052,Fallow,vegetative,NDWI,-0.4206,Severe,0.0,No action
F_053,Paddy,reproductive,SAR VH/VV ratio,0.2435,Severe,20.72,Urgent irrigation
F_054,Soybean,reproductive,SAR VH/VV ratio,0.3971,Moderate,18.8,Urgent irrigation
F_055,Cotton,reproductive,SAR VH/VV ratio,0.3873,Moderate,18.8,Urgent irrigation
F_056,Soybean,reproductive,SAR VH/VV ratio,0.343,Moderate,18.8,Urgent irrigation
F_057,Fallow,sowing,NDVI_anomaly + SMI,0.1837,Low,0.0,No action
